Gas,DirectionOfFlow,DayOfUse,ActivationDate,Location,LocationType,Exchange,MeritOrderRank,HourlyQuantity,Unit_HourlyQuantity,NumberOfLots,DurationOfUse,LotSize,Unit_LotSize,CommodityCharge,Unit_CommodityCharge,DailyQuantity,Unit_DailyQuantity,EuroPerDay,Unit_EuroPerDay,ProductType,CallType,CALL,
H-Gas,B,2020-01-20T06:00:00,2020-01-20T06:00:00,NCGH,Exchange,PEGAS,2,20,MWh/h,20,24,1,MWh/h,12.150,€/MWh,480,MWh,5832.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-20T06:00:00,2020-01-20T06:00:00,NCGH,Exchange,PEGAS,2,1080,MWh/h,1080,24,1,MWh/h,12.175,€/MWh,25920,MWh,315576.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-20T06:00:00,2020-01-20T06:00:00,NCGH,Exchange,PEGAS,2,1000,MWh/h,1000,24,1,MWh/h,12.200,€/MWh,24000,MWh,292800.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-22T06:00:00,2020-01-22T06:00:00,NCGH,Exchange,PEGAS,2,1390,MWh/h,1390,24,1,MWh/h,12.000,€/MWh,33360,MWh,400320.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T13:00:00,NCGH,Exchange,PEGAS,2,400,MWh/h,400,17,1,MWh/h,11.100,€/MWh,6800,MWh,75480.00,€,RoD,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T14:00:00,NCGH,Exchange,PEGAS,2,2100,MWh/h,2100,16,1,MWh/h,11.250,€/MWh,33600,MWh,378000.00,€,RoD,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T06:00:00,NCGH,Exchange,PEGAS,2,433,MWh/h,433,24,1,MWh/h,11.300,€/MWh,10392,MWh,117429.60,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T06:00:00,NCGH,Exchange,PEGAS,2,200,MWh/h,200,24,1,MWh/h,11.325,€/MWh,4800,MWh,54360.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T06:00:00,NCGH,Exchange,PEGAS,2,600,MWh/h,600,24,1,MWh/h,11.350,€/MWh,14400,MWh,163440.00,€,Day,Quality,Shortterm,
H-Gas,B,2020-01-24T06:00:00,2020-01-24T06:00:00,NCGH,Exchange,PEGAS,2,250,MWh/h,250,24,1,MWh/h,11.375,€/MWh,6000,MWh,68250.00,€,Day,Quality,Shortterm,
