TimeStamp,Linepack_H,UnitLinepack_H,Linepack_L,UnitLinepack_L,
2020-01-20T00:00:00,3477705023,kWh,506090338,kWh,
2020-01-20T01:00:00,3477550533,kWh,507839475,kWh,
2020-01-20T02:00:00,3481853581,kWh,508976814,kWh,
2020-01-20T03:00:00,3495187529,kWh,509858354,kWh,
2020-01-20T04:00:00,3502963129,kWh,511463512,kWh,
2020-01-20T05:00:00,3511899099,kWh,512827735,kWh,
2020-01-20T06:00:00,3518664814,kWh,512006812,kWh,
2020-01-20T07:00:00,3495126408,kWh,509096567,kWh,
2020-01-20T08:00:00,3486561265,kWh,507306713,kWh,
2020-01-20T09:00:00,3447876718,kWh,505459805,kWh,
2020-01-20T10:00:00,3413248190,kWh,502220893,kWh,
2020-01-20T11:00:00,3407068680,kWh,499872391,kWh,
2020-01-20T12:00:00,3405242658,kWh,498140643,kWh,
2020-01-20T13:00:00,3407487474,kWh,496834905,kWh,
2020-01-20T14:00:00,3409610677,kWh,496451293,kWh,
2020-01-20T15:00:00,3412836683,kWh,496359009,kWh,
2020-01-20T16:00:00,3415782631,kWh,496472392,kWh,
2020-01-20T17:00:00,3413538207,kWh,495703359,kWh,
2020-01-20T18:00:00,3412169297,kWh,493891134,kWh,
2020-01-20T19:00:00,3411123628,kWh,491217656,kWh,
2020-01-20T20:00:00,3405608702,kWh,489809630,kWh,
2020-01-20T21:00:00,3401482603,kWh,488298415,kWh,
2020-01-20T22:00:00,3401757185,kWh,486484102,kWh,
2020-01-20T23:00:00,3403388052,kWh,486174520,kWh,
2020-01-21T00:00:00,3410842434,kWh,488402070,kWh,
2020-01-21T01:00:00,3421657302,kWh,491334344,kWh,
2020-01-21T02:00:00,3430897105,kWh,495293231,kWh,
2020-01-21T03:00:00,3440780517,kWh,498851835,kWh,
2020-01-21T04:00:00,3447490972,kWh,503535666,kWh,
2020-01-21T05:00:00,3450076299,kWh,507774505,kWh,
2020-01-21T06:00:00,3445942417,kWh,508327776,kWh,
2020-01-21T07:00:00,0,kWh,0,kWh,
2020-01-21T08:00:00,3428083685,kWh,503635535,kWh,
2020-01-21T09:00:00,3415013701,kWh,500490043,kWh,
2020-01-21T10:00:00,3400883026,kWh,497931806,kWh,
2020-01-21T11:00:00,3389242895,kWh,497300028,kWh,
2020-01-21T12:00:00,3381954239,kWh,498214592,kWh,
2020-01-21T13:00:00,3377580755,kWh,500185922,kWh,
2020-01-21T14:00:00,3375247525,kWh,502746247,kWh,
2020-01-21T15:00:00,3373442578,kWh,505810871,kWh,
2020-01-21T16:00:00,3372151035,kWh,509305937,kWh,
2020-01-21T17:00:00,3369284161,kWh,511472999,kWh,
2020-01-21T18:00:00,3368766924,kWh,511317819,kWh,
2020-01-21T19:00:00,3367388017,kWh,510501691,kWh,
2020-01-21T20:00:00,3365397819,kWh,509836354,kWh,
2020-01-21T21:00:00,3364886756,kWh,508942201,kWh,
2020-01-21T22:00:00,3367414767,kWh,508663587,kWh,
2020-01-21T23:00:00,3374850387,kWh,508826253,kWh,
2020-01-22T00:00:00,3386025830,kWh,510072422,kWh,
2020-01-22T01:00:00,3399400888,kWh,512254723,kWh,
2020-01-22T02:00:00,3412759163,kWh,513694417,kWh,
2020-01-22T03:00:00,3425117105,kWh,515293560,kWh,
2020-01-22T04:00:00,3436363037,kWh,516460366,kWh,
2020-01-22T05:00:00,3443812626,kWh,517359563,kWh,
2020-01-22T06:00:00,3444433578,kWh,516669327,kWh,
2020-01-22T07:00:00,3439016330,kWh,513672107,kWh,
2020-01-22T08:00:00,3432646164,kWh,509618686,kWh,
2020-01-22T09:00:00,3425736583,kWh,505538117,kWh,
2020-01-22T10:00:00,3419158988,kWh,502854851,kWh,
2020-01-22T11:00:00,3411515037,kWh,500703758,kWh,
2020-01-22T12:00:00,3407154284,kWh,499189544,kWh,
2020-01-22T13:00:00,3404742062,kWh,496841322,kWh,
2020-01-22T14:00:00,3405375888,kWh,495207151,kWh,
2020-01-22T15:00:00,3402462127,kWh,494699100,kWh,
2020-01-22T16:00:00,3397581256,kWh,494520293,kWh,
2020-01-22T17:00:00,3392600053,kWh,494108596,kWh,
2020-01-22T18:00:00,3387963270,kWh,493450391,kWh,
2020-01-22T19:00:00,3383591887,kWh,493075617,kWh,
2020-01-22T20:00:00,3379700536,kWh,494041988,kWh,
2020-01-22T21:00:00,3378612396,kWh,494872982,kWh,
2020-01-22T22:00:00,3382347756,kWh,496474838,kWh,
2020-01-22T23:00:00,3390162260,kWh,499849900,kWh,
2020-01-23T00:00:00,3402154316,kWh,504648182,kWh,
2020-01-23T01:00:00,3417323459,kWh,509315251,kWh,
2020-01-23T02:00:00,3432330630,kWh,513928843,kWh,
2020-01-23T03:00:00,3446885420,kWh,518520911,kWh,
2020-01-23T04:00:00,3460989444,kWh,522271476,kWh,
2020-01-23T05:00:00,3472812549,kWh,525958888,kWh,
2020-01-23T06:00:00,3475277586,kWh,526581886,kWh,
2020-01-23T07:00:00,3467430913,kWh,525087650,kWh,
2020-01-23T08:00:00,3457570876,kWh,521555494,kWh,
2020-01-23T09:00:00,3447526722,kWh,516997091,kWh,
2020-01-23T10:00:00,3437241515,kWh,513058488,kWh,
2020-01-23T11:00:00,3430632093,kWh,510263883,kWh,
2020-01-23T12:00:00,3423884773,kWh,508036251,kWh,
2020-01-23T13:00:00,3416593022,kWh,506916456,kWh,
2020-01-23T14:00:00,3410949634,kWh,505405651,kWh,
2020-01-23T15:00:00,3404514583,kWh,504174002,kWh,
2020-01-23T16:00:00,3396494423,kWh,503665019,kWh,
2020-01-23T17:00:00,3388379415,kWh,502819598,kWh,
2020-01-23T18:00:00,3380630587,kWh,501316120,kWh,
2020-01-23T19:00:00,3373001036,kWh,499978321,kWh,
2020-01-23T20:00:00,3365839206,kWh,498753436,kWh,
2020-01-23T21:00:00,3360164341,kWh,498007831,kWh,
2020-01-23T22:00:00,3361095254,kWh,497152495,kWh,
2020-01-23T23:00:00,3367895172,kWh,496846774,kWh,
2020-01-24T00:00:00,3378377074,kWh,497893332,kWh,
2020-01-24T01:00:00,3390983300,kWh,501355182,kWh,
2020-01-24T02:00:00,3403243990,kWh,506576431,kWh,
2020-01-24T03:00:00,3414918520,kWh,510650043,kWh,
2020-01-24T04:00:00,3424223243,kWh,513369928,kWh,
2020-01-24T05:00:00,3428872461,kWh,514998224,kWh,
2020-01-24T06:00:00,3424791855,kWh,513925393,kWh,
2020-01-24T07:00:00,3403747332,kWh,509526269,kWh,
2020-01-24T08:00:00,3384737302,kWh,502640959,kWh,
2020-01-24T09:00:00,3374229766,kWh,496487371,kWh,
2020-01-24T10:00:00,3369133988,kWh,491560491,kWh,
2020-01-24T11:00:00,3364200092,kWh,488203039,kWh,
2020-01-24T12:00:00,3358538120,kWh,486567028,kWh,
2020-01-24T13:00:00,3354711315,kWh,485254818,kWh,
2020-01-24T14:00:00,3355124064,kWh,484345452,kWh,
2020-01-24T15:00:00,3359333662,kWh,483273554,kWh,
2020-01-24T16:00:00,3364165429,kWh,481562299,kWh,
2020-01-24T17:00:00,3366622836,kWh,480577892,kWh,
2020-01-24T18:00:00,3366421876,kWh,479538754,kWh,
2020-01-24T19:00:00,3364415943,kWh,478250530,kWh,
2020-01-24T20:00:00,3363501423,kWh,478102492,kWh,
2020-01-24T21:00:00,3364547343,kWh,478125982,kWh,
2020-01-24T22:00:00,3370369718,kWh,479191882,kWh,
2020-01-24T23:00:00,3381715504,kWh,482864186,kWh,
2020-01-25T00:00:00,3397609689,kWh,489324053,kWh,
2020-01-25T01:00:00,3417562767,kWh,496416123,kWh,
2020-01-25T02:00:00,3438802682,kWh,502732923,kWh,
2020-01-25T03:00:00,3458265315,kWh,508831272,kWh,
2020-01-25T04:00:00,3473941049,kWh,514700444,kWh,
2020-01-25T05:00:00,3487217068,kWh,521231989,kWh,
2020-01-25T06:00:00,3494218072,kWh,526934202,kWh,
2020-01-25T07:00:00,3490599962,kWh,527278901,kWh,
2020-01-25T08:00:00,3491125884,kWh,524572922,kWh,
2020-01-25T09:00:00,3490590756,kWh,521244383,kWh,
2020-01-25T10:00:00,3489178521,kWh,517444010,kWh,
2020-01-25T11:00:00,3486339886,kWh,513109673,kWh,
2020-01-25T12:00:00,3483657582,kWh,508582286,kWh,
2020-01-25T13:00:00,3482357031,kWh,505384359,kWh,
2020-01-25T14:00:00,3483690639,kWh,503229894,kWh,
2020-01-25T15:00:00,3486661595,kWh,501115770,kWh,
2020-01-25T16:00:00,3488372411,kWh,499318432,kWh,
2020-01-25T17:00:00,3488799000,kWh,497300157,kWh,
2020-01-25T18:00:00,3488143114,kWh,495548120,kWh,
2020-01-25T19:00:00,3484131759,kWh,494223603,kWh,
2020-01-25T20:00:00,3476627746,kWh,493412547,kWh,
2020-01-25T21:00:00,3468525432,kWh,492045814,kWh,
2020-01-25T22:00:00,3462305104,kWh,490712811,kWh,
2020-01-25T23:00:00,3457786486,kWh,490692965,kWh,
2020-01-26T00:00:00,3454428824,kWh,491661529,kWh,
2020-01-26T01:00:00,3455198527,kWh,493644665,kWh,
2020-01-26T02:00:00,3458275554,kWh,495531934,kWh,
2020-01-26T03:00:00,3459587650,kWh,496835583,kWh,
2020-01-26T04:00:00,3461404479,kWh,498120377,kWh,
2020-01-26T05:00:00,3462890051,kWh,498938668,kWh,
2020-01-26T06:00:00,3459860486,kWh,498107195,kWh,
2020-01-26T07:00:00,3448168272,kWh,497174313,kWh,
2020-01-26T08:00:00,3437352161,kWh,496276609,kWh,
2020-01-26T09:00:00,3429542266,kWh,494528514,kWh,
2020-01-26T10:00:00,3426357655,kWh,492049193,kWh,
2020-01-26T11:00:00,3425958838,kWh,488844055,kWh,
2020-01-26T12:00:00,3427603890,kWh,486029116,kWh,
2020-01-26T13:00:00,3430350742,kWh,485410076,kWh,
2020-01-26T14:00:00,3433911139,kWh,486855969,kWh,
2020-01-26T15:00:00,3438552014,kWh,488852942,kWh,
